Epoch,Test Loss,Accuracy,Num Dendrites,Num Somas,Total Parameters,Regularized,Model Type,RF Type
17,0.5085988965215562,0.8155,128,32,104938,False,dendritic,local
18,0.4007223403152031,0.856,256,128,235146,False,dendritic,local
18,0.5067800258911108,0.8171,128,32,104938,False,dendritic,local
17,0.4417901073075548,0.8423,256,32,209514,False,dendritic,local
19,0.504823462495321,0.8177,128,32,104938,False,dendritic,local
19,0.3975122786020931,0.8562,256,128,235146,False,dendritic,local
18,0.43798003902163685,0.8452,256,32,209514,False,dendritic,local
0,0.7683556494833548,0.7319,128,32,104938,False,dendritic,random
0,0.6394526377508912,0.7726,256,128,235146,False,dendritic,random
19,0.4371384695360932,0.844,256,32,209514,False,dendritic,local
1,0.6261053564427774,0.7728,128,32,104938,False,dendritic,random
1,0.5372594930703127,0.8075,256,128,235146,False,dendritic,random
0,0.619154191847089,0.7784,256,32,209514,False,dendritic,random
2,0.5860606514954869,0.783,128,32,104938,False,dendritic,random
2,0.49612652463249013,0.8205,256,128,235146,False,dendritic,random
1,0.5309988682783102,0.808,256,32,209514,False,dendritic,random
3,0.5623152855830856,0.793,128,32,104938,False,dendritic,random
3,0.47760950010034103,0.8273,256,128,235146,False,dendritic,random
2,0.4892606942714015,0.8222,256,32,209514,False,dendritic,random
